Variable,Lag Length,Lag,ACF Value,ACF Conf Int Low,ACF Conf Int High,PACF Value,PACF Conf Int Low,PACF Conf Int High
USDebt SA,6,2,0.021492618,-0.186878667,0.186878667,0.020059457,-0.186878667,0.186878667
USDebt SA,6,3,-0.016241586,-0.186878667,0.186878667,-0.018533469,-0.186878667,0.186878667
USDebt SA,6,4,-0.09954336,-0.186878667,0.186878667,-0.1025092,-0.186878667,0.186878667
USDebt SA,6,5,0.109573271,-0.186878667,0.186878667,0.125780791,-0.186878667,0.186878667
USDebt SA,6,6,0.08466673,-0.186878667,0.186878667,0.085017098,-0.186878667,0.186878667
USDebt SA,6,7,0.036613009,-0.186878667,0.186878667,0.022382398,-0.186878667,0.186878667
USDebt SA,6,8,-0.190730851,-0.186878667,0.186878667,-0.228972988,-0.186878667,0.186878667
USDebt SA,6,9,-0.021732429,-0.186878667,0.186878667,0.022852122,-0.186878667,0.186878667
USDebt SA,6,10,0.063213264,-0.186878667,0.186878667,0.101764733,-0.186878667,0.186878667
USDebt SA,6,11,0.168593895,-0.186878667,0.186878667,0.1836121,-0.186878667,0.186878667
USDebt SA,6,12,-0.164494363,-0.186878667,0.186878667,-0.317443372,-0.186878667,0.186878667
USDebt SA,6,13,-0.123584159,-0.186878667,0.186878667,-0.121241481,-0.186878667,0.186878667
USDebt SA,6,14,-0.115663309,-0.186878667,0.186878667,-0.03081291,-0.186878667,0.186878667
USDebt SA,6,15,-0.181306426,-0.186878667,0.186878667,-0.124694335,-0.186878667,0.186878667
USDebt SA,6,16,0.091887646,-0.186878667,0.186878667,-0.045556302,-0.186878667,0.186878667
USDebt SA,6,17,-0.114588389,-0.186878667,0.186878667,-0.19830615,-0.186878667,0.186878667
USDebt SA,6,18,-0.163432179,-0.186878667,0.186878667,-0.166174695,-0.186878667,0.186878667
USDebt SA,6,19,-0.108443412,-0.186878667,0.186878667,-0.009172476,-0.186878667,0.186878667
USDebt SA,6,20,-0.087033097,-0.186878667,0.186878667,-0.147386054,-0.186878667,0.186878667
USDXY SA,6,0,1,-0.186878667,0.186878667,1,-0.186878667,0.186878667
USDXY SA,6,1,0.018860702,-0.186878667,0.186878667,0.019033735,-0.186878667,0.186878667
USDXY SA,6,2,0.005560716,-0.186878667,0.186878667,0.00530333,-0.186878667,0.186878667
USDXY SA,6,3,-0.00855342,-0.186878667,0.186878667,-0.009004923,-0.186878667,0.186878667
USDXY SA,6,4,-0.117364779,-0.186878667,0.186878667,-0.121543645,-0.186878667,0.186878667
USDXY SA,6,5,-0.089115955,-0.186878667,0.186878667,-0.090149455,-0.186878667,0.186878667
USDXY SA,6,6,-0.046515458,-0.186878667,0.186878667,-0.046620365,-0.186878667,0.186878667
USDXY SA,6,7,0.0480148,-0.186878667,0.186878667,0.052293733,-0.186878667,0.186878667
USDXY SA,6,8,-0.257399011,-0.186878667,0.186878667,-0.302163806,-0.186878667,0.186878667
USDXY SA,6,9,-0.062859111,-0.186878667,0.186878667,-0.09499767,-0.186878667,0.186878667
USDXY SA,6,10,-0.031670811,-0.186878667,0.186878667,-0.062451476,-0.186878667,0.186878667
USDXY SA,6,11,-0.034555325,-0.186878667,0.186878667,-0.052028247,-0.186878667,0.186878667
USDXY SA,6,12,-0.158389776,-0.186878667,0.186878667,-0.29631346,-0.186878667,0.186878667
USDXY SA,6,13,0.153007214,-0.186878667,0.186878667,0.103077654,-0.186878667,0.186878667
USDXY SA,6,14,-0.022987159,-0.186878667,0.186878667,-0.135037399,-0.186878667,0.186878667
USDXY SA,6,15,0.009115736,-0.186878667,0.186878667,-0.009705806,-0.186878667,0.186878667
USDXY SA,6,16,0.132604461,-0.186878667,0.186878667,-0.030109135,-0.186878667,0.186878667
USDXY SA,6,17,0.1266728,-0.186878667,0.186878667,0.140106722,-0.186878667,0.186878667
USDXY SA,6,18,0.012447578,-0.186878667,0.186878667,-0.075570773,-0.186878667,0.186878667
USDXY SA,6,19,0.053972023,-0.186878667,0.186878667,0.119350141,-0.186878667,0.186878667
USDXY SA,6,20,0.12491636,-0.186878667,0.186878667,0.025530639,-0.186878667,0.186878667
3M TBill SA,7,0,1,-0.187733952,0.187733952,1,-0.187733952,0.187733952
3M TBill SA,7,1,0.003387139,-0.187733952,0.187733952,0.003418501,-0.187733952,0.187733952
3M TBill SA,7,2,0.018809397,-0.187733952,0.187733952,0.019149512,-0.187733952,0.187733952
3M TBill SA,7,3,-0.014679404,-0.187733952,0.187733952,-0.015230332,-0.187733952,0.187733952
3M TBill SA,7,4,0.03018692,-0.187733952,0.187733952,0.031095054,-0.187733952,0.187733952
3M TBill SA,7,5,-0.025453974,-0.187733952,0.187733952,-0.026379848,-0.187733952,0.187733952
3M TBill SA,7,6,-0.117075013,-0.187733952,0.187733952,-0.125350093,-0.187733952,0.187733952
3M TBill SA,7,7,0.063044877,-0.187733952,0.187733952,0.071396306,-0.187733952,0.187733952
3M TBill SA,7,8,-0.042918443,-0.187733952,0.187733952,-0.044944353,-0.187733952,0.187733952
3M TBill SA,7,9,-0.006280229,-0.187733952,0.187733952,-0.011496995,-0.187733952,0.187733952
3M TBill SA,7,10,0.104916846,-0.187733952,0.187733952,0.130835447,-0.187733952,0.187733952
3M TBill SA,7,11,-0.070554056,-0.187733952,0.187733952,-0.098793711,-0.187733952,0.187733952
3M TBill SA,7,12,-0.033800637,-0.187733952,0.187733952,-0.051115557,-0.187733952,0.187733952
3M TBill SA,7,13,-0.152547629,-0.187733952,0.187733952,-0.152864764,-0.187733952,0.187733952
3M TBill SA,7,14,-0.080924818,-0.187733952,0.187733952,-0.127500668,-0.187733952,0.187733952
3M TBill SA,7,15,-0.055673801,-0.187733952,0.187733952,-0.043260793,-0.187733952,0.187733952
3M TBill SA,7,16,0.009152583,-0.187733952,0.187733952,0.038193053,-0.187733952,0.187733952
3M TBill SA,7,17,-0.025285402,-0.187733952,0.187733952,-0.064495574,-0.187733952,0.187733952
